Name,Description,ID,Category,Source
VirtualBox,,Oracle.VirtualBox,Virtualization,winget
VLC media player,,VideoLAN.VLC,Media Player,winget
WhatsApp,,WhatsApp.WhatsApp,Messaging,winget
Winamp,,Winamp.Winamp,Audio Player,winget
WinDbg,,Microsoft.WinDbg,Utility,winget
WinDirStat,,WinDirStat.WinDirStat,Utility,winget
WinRAR,,RARLab.WinRAR,Archiver,winget
WinSCP,,WinSCP.WinSCP,Utility,winget
WinZip,,Corel.WinZip,Archiver,winget
XnView,,XnSoft.XnView.Classic,Viewer/Editor,winget
